"","logID","fightID","encounterID","size","Class","timestamp","type","sourceID","abilityGameID","hitType","hitType2","amount","unmitigatedAmount","amount_full","resisted","overkill","buffs"
"53","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1630119,"damage",9,67760,1,"Normal",2539,2247,2539,NA,NA,"57623.2825.59000.64907.15258.61792."
"54","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1639370,"damage",9,67760,1,"Normal",2270,2009,2270,NA,NA,"57623.2825.55637.59000.15258.61792."
"55","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1647878,"damage",9,67760,17,"Crit",3142,2000,3342,200,NA,"57623.55637.59000.48156.15258.61792."
"56","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2129084,"damage",9,67760,1,"Normal",2418,2140,2418,NA,NA,"57623.53909.55637.64907.26297.15258.61792."
"57","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2147370,"damage",9,67760,1,"Normal",2500,2212,2500,NA,NA,"57623.48156.15258.61792."
"58","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2160723,"damage",9,67760,16,"Normal",2175,2139,2389,214,NA,"57623.59000.48156.64907.15258.61792."
"59","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2170252,"damage",9,67760,1,"Normal",2519,2229,2519,NA,NA,"57623.59000.48156.64907.15258.61792."
"60","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2178016,"damage",9,67760,16,"Normal",1977,2187,2414,437,NA,"57623.59000.54758.64907.15258.61792."
"61","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2188351,"damage",9,67760,17,"Crit",3240,2062,3446,206,NA,"57623.55637.59000.48156.54758.64907.15258.61792."
"62","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2248517,"damage",9,67760,2,"Crit",3091,2001,3091,NA,NA,"57623.64713.59000.64907.15258.61792."
"63","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2271808,"damage",9,67760,1,"Normal",2477,2192,2477,NA,NA,"57623.2825.15271.54758.15258.61792."
"64","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2282919,"damage",9,67760,16,"Normal",1900,2102,2320,420,NA,"53908.57623.2825.59000.48156.64907.15258.61792."
"65","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2294569,"damage",9,67760,17,"Crit",2771,1984,3168,397,NA,"57623.2825.59000.64907.15258.61792."
"66","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2304564,"damage",9,67760,16,"Normal",2113,2078,2321,208,NA,"57623.2825.64713.59000.48156.64907.15258.61792."
"67","36XxM8WBTjFtcpKN",9,645,10,"Spriest",2311205,"damage",9,67760,1,"Normal",2242,1984,2242,NA,NA,"57623.59000.64907.26297.15258.61792."
"68","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",542268,"damage",7,67760,2,"Crit",3449,1975,3449,NA,NA,"55637.16246.29178.53909."
